price,date
2220.151561688879,2024-01-08
2331.6603294356382,2024-01-09
2341.160624264102,2024-01-10
2588.769163919145,2024-01-11
2618.329861896492,2024-01-12
2524.5016938912413,2024-01-13
2575.9247354333543,2024-01-14
2477.9374784307734,2024-01-15
2515.3199803936955,2024-01-16
2589.4826316304293,2024-01-17
2528.3287854519394,2024-01-18
2467.3289785137254,2024-01-19
2489.6180646533794,2024-01-20
2470.2636151036777,2024-01-21
2454.909543339834,2024-01-22
2307.5870034987734,2024-01-23
2241.942776155338,2024-01-24
2236.7393130974074,2024-01-25
2219.6145274459245,2024-01-26
2268.8707315074744,2024-01-27
2267.907851752534,2024-01-28
2257.054464645605,2024-01-29
2314.59472753004,2024-01-30
2344.001400019654,2024-01-31
2282.485867015841,2024-02-01
2301.737299308667,2024-02-02
2307.4329984830933,2024-02-03
2294.715924804408,2024-02-04
2290.084492877089,2024-02-05
2298.669906674278,2024-02-06
2372.760878734525,2024-02-07
2424.073040465209,2024-02-08
2420.9685614791365,2024-02-09
2487.8508971967804,2024-02-10
2499.4921841564314,2024-02-11
2505.076808453919,2024-02-12
2657.990407976775,2024-02-13
2641.5360974921623,2024-02-14
2780.372974906562,2024-02-15
2826.821475855177,2024-02-16
2807.3717030539606,2024-02-17
2788.561332499608,2024-02-18
2874.945276040071,2024-02-19
2943.723084777655,2024-02-20
3015.438952062055,2024-02-21
2977.0820166829903,2024-02-22
2974.1315861319918,2024-02-23
2926.2859129063518,2024-02-24
2988.317384063568,2024-02-25
3113.4082982877167,2024-02-26
3173.62994683714,2024-02-27
3242.0476538223666,2024-02-28
3380.8039555421246,2024-02-29
3347.690472423345,2024-03-01
3431.75199772032,2024-03-02
3421.89214692414,2024-03-03
3487.190931866777,2024-03-04
3634.311067557102,2024-03-05
3581.5348849085663,2024-03-06
3822.365818156151,2024-03-07
3861.900999013773,2024-03-08
3893.613884196704,2024-03-09
3916.041187699099,2024-03-10
3887.473104733291,2024-03-11
4070.6040749869994,2024-03-12
3978.685771378112,2024-03-13
4007.9121260756656,2024-03-14
3879.038366642958,2024-03-15
3738.381184462065,2024-03-16
3514.222472178163,2024-03-17
3643.280347379834,2024-03-18
3525.893640670024,2024-03-19
3171.293836639821,2024-03-20
3515.6884318548646,2024-03-21
3493.4304387798707,2024-03-22
3322.891277320318,2024-03-23
3353.371241538487,2024-03-24
3454.257071389558,2024-03-25
3588.493402189288,2024-03-26
3591.5485279028403,2024-03-27
3505.2181161826984,2024-03-28
3560.26151146781,2024-03-29
3516.096057627979,2024-03-30
3507.6606559474685,2024-03-31
3644.767598784896,2024-04-01
3508.2477201085417,2024-04-02
3274.901203544406,2024-04-03
3316.6829546775257,2024-04-04
2230.8761843957795,2023-12-27
2376.771249284193,2023-12-28
2345.2607087446872,2023-12-29
2299.5262072752594,2023-12-30
2294.3440063451,2023-12-31
2279.9410085689606,2024-01-01
2350.0262860085095,2024-01-02
2360.7821195890947,2024-01-03
2211.1708278638766,2024-01-04
2270.977439333732,2024-01-05
2267.087035484658,2024-01-06
2241.5108270042424,2024-01-07
2220.151561688879,2024-01-08
2331.6603294356382,2024-01-09
2341.160624264102,2024-01-10
2588.769163919145,2024-01-11
2618.3298618964914,2024-01-12
2524.5016938912413,2024-01-13
2575.9247354333543,2024-01-14
2477.9374784307734,2024-01-15
2515.3199803936955,2024-01-16
2589.4826316304293,2024-01-17
2528.3287854519394,2024-01-18
2467.3289785137254,2024-01-19
2489.6180646533794,2024-01-20
2470.2636151036777,2024-01-21
2454.909543339834,2024-01-22
2307.5870034987734,2024-01-23
2241.942776155338,2024-01-24
2236.7393130974074,2024-01-25
2219.6145274459245,2024-01-26
2268.8707315074744,2024-01-27
2267.907851752534,2024-01-28
2257.0544646456055,2024-01-29
2314.59472753004,2024-01-30
2344.001400019654,2024-01-31
2282.4858670158414,2024-02-01
2301.737299308667,2024-02-02
2307.4329984830933,2024-02-03
2294.7159248044077,2024-02-04
2290.084492877089,2024-02-05
2298.669906674278,2024-02-06
2372.7608787345252,2024-02-07
2424.0730404652095,2024-02-08
2420.9685614791365,2024-02-09
2487.8508971967804,2024-02-10
2499.4921841564314,2024-02-11
2505.076808453919,2024-02-12
2657.990407976775,2024-02-13
2641.5360974921623,2024-02-14
2780.372974906562,2024-02-15
2826.821475855177,2024-02-16
2807.3717030539606,2024-02-17
2788.561332499608,2024-02-18
2874.945276040071,2024-02-19
2943.723084777655,2024-02-20
3015.438952062055,2024-02-21
2977.0820166829903,2024-02-22
2974.1315861319913,2024-02-23
2926.2859129063513,2024-02-24
2988.317384063568,2024-02-25
3113.4082982877167,2024-02-26
3173.62994683714,2024-02-27
3242.0476538223666,2024-02-28
3380.8039555421246,2024-02-29
3347.6904724233455,2024-03-01
3431.75199772032,2024-03-02
3421.89214692414,2024-03-03
3487.190931866777,2024-03-04
3634.311067557102,2024-03-05
3581.5348849085663,2024-03-06
3822.365818156151,2024-03-07
3861.9009990137733,2024-03-08
3893.6138841967036,2024-03-09
3916.041187699099,2024-03-10
3887.473104733291,2024-03-11
4070.6040749869985,2024-03-12
3978.685771378112,2024-03-13
4007.9121260756656,2024-03-14
3879.038366642958,2024-03-15
3738.381184462065,2024-03-16
3514.222472178163,2024-03-17
3643.280347379834,2024-03-18
3525.8936406700236,2024-03-19
3171.293836639821,2024-03-20
3515.6884318548646,2024-03-21
3493.4304387798707,2024-03-22
3322.891277320318,2024-03-23
3353.371241538487,2024-03-24
3454.257071389558,2024-03-25
3588.493402189288,2024-03-26
3591.5485279028403,2024-03-27
3505.2181161826984,2024-03-28
3560.26151146781,2024-03-29
3516.096057627979,2024-03-30
3507.6606559474685,2024-03-31
3644.767598784896,2024-04-01
3508.2477201085417,2024-04-02
3274.901203544406,2024-04-03
3316.6829546775257,2024-04-04
